Touchpad Joystick,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
Version: V1.0,,"Last Updated: August 8, 2023",,,,,, $32.00 , $32.00 ,1.00,7,,
Commercial Parts,,,,,,,,,,,,,
ID,Part Name,Part Type,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
TM035035-2024-003,Cirque Capacitive Touch Sensor 35 mm,Electrical,1,1, $12.14 ,1, $12.14 , $12.14 , $12.14 ,https://www.mouser.ca/ProductDetail/355-TM0350352024-003,,,
4600,Adafruit QT PY - SAMD21,Microcontroller,1,1, $10.35 ,1, $10.35 , $10.35 , $10.35 ,https://www.mouser.ca/ProductDetail/485-4600,,,
SC-2CAK010M,USB Cable (C Male / A Male),Electrical,1,1, $9.33 ,1, $9.33 , $9.33 , $9.33 ,https://www.mouser.ca/ProductDetail/530-SC-2CAK010M,,,
,,,,,,0, $-   , $-   , $-   ,,,,
,,,,,,0, $-   , $-   , $-   ,,,,
,,,,,,0, $-   , $-   , $-   ,,,,
,,,,,,0, $-   , $-   , $-   ,,,,
3D Printed Parts                           ESTIMATED PRICING USING 1KG ROLL COST:,, $25.00 ,,,,,,,,,,,
ID,Part,Material,QTY,Mass (g) / Unit,Time / Unit,,Print Time (Min),Estimated Price,,Link,,,
,Enclosure Top,PLA,1,2,20,,20, $0.05 ,,,,,
,Enclosure Bottom,PLA,1,5,40,,40, $0.13 ,,,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
,,,,,,,, $-   ,,,,,
Custom Printed Circuit Board (PCB),,,,,,,,,,,,,
ID,Part,,QTY,,,,,,,,,,
,,,,,,,,,,,,,
Tools for Assembly,,,,,,,,,,,,,
,3D Printer,,,,,,,,,,,,
,Soldering Iron,,,,,,,,,,,,
,Solder ,,,,,,,,,,,,
,Wire Strippers,,,,,,,,,,,,
,Flush Cutters,,,,,,,,,,,,
,,,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,,,
ID,Part and description,,,,,,,,,Link,,,
